date,traffic,page_name
2018-10-28,347.0,Back to the Future (Japanese Wikipedia)
2018-10-29,366.0,Back to the Future (Japanese Wikipedia)
2018-10-30,393.0,Back to the Future (Japanese Wikipedia)
2018-10-31,318.0,Back to the Future (Japanese Wikipedia)
2018-11-01,355.0,Back to the Future (Japanese Wikipedia)
2018-11-02,383.0,Back to the Future (Japanese Wikipedia)
2018-11-03,308.0,Back to the Future (Japanese Wikipedia)
2018-11-04,384.0,Back to the Future (Japanese Wikipedia)
2018-11-05,519.0,Back to the Future (Japanese Wikipedia)
2018-11-06,405.0,Back to the Future (Japanese Wikipedia)
2018-11-07,403.0,Back to the Future (Japanese Wikipedia)
2018-11-08,368.0,Back to the Future (Japanese Wikipedia)
2018-11-09,496.0,Back to the Future (Japanese Wikipedia)
2018-11-10,329.0,Back to the Future (Japanese Wikipedia)
2018-11-11,349.0,Back to the Future (Japanese Wikipedia)
2018-11-12,448.0,Back to the Future (Japanese Wikipedia)
2018-11-13,387.0,Back to the Future (Japanese Wikipedia)
2018-11-14,376.0,Back to the Future (Japanese Wikipedia)
2018-11-15,383.0,Back to the Future (Japanese Wikipedia)
2018-11-16,351.0,Back to the Future (Japanese Wikipedia)
2018-11-17,332.0,Back to the Future (Japanese Wikipedia)
2018-11-18,356.0,Back to the Future (Japanese Wikipedia)
2018-11-19,466.0,Back to the Future (Japanese Wikipedia)
2018-11-20,439.0,Back to the Future (Japanese Wikipedia)
2018-11-21,348.0,Back to the Future (Japanese Wikipedia)
2018-11-22,397.0,Back to the Future (Japanese Wikipedia)
2018-11-23,396.0,Back to the Future (Japanese Wikipedia)
2018-11-24,344.0,Back to the Future (Japanese Wikipedia)
2018-11-25,299.0,Back to the Future (Japanese Wikipedia)
2018-11-26,396.0,Back to the Future (Japanese Wikipedia)
2018-11-27,373.0,Back to the Future (Japanese Wikipedia)
2018-11-28,320.0,Back to the Future (Japanese Wikipedia)
2018-11-29,320.0,Back to the Future (Japanese Wikipedia)
2018-11-30,333.0,Back to the Future (Japanese Wikipedia)
2018-12-01,342.0,Back to the Future (Japanese Wikipedia)
2018-12-02,305.0,Back to the Future (Japanese Wikipedia)
2018-12-03,337.0,Back to the Future (Japanese Wikipedia)
2018-12-04,362.0,Back to the Future (Japanese Wikipedia)
2018-12-05,403.0,Back to the Future (Japanese Wikipedia)
2018-12-06,319.0,Back to the Future (Japanese Wikipedia)
2018-12-07,378.0,Back to the Future (Japanese Wikipedia)
2018-12-08,300.0,Back to the Future (Japanese Wikipedia)
2018-12-09,364.0,Back to the Future (Japanese Wikipedia)
2018-12-10,3196.0,Back to the Future (Japanese Wikipedia)
2018-12-11,1696.0,Back to the Future (Japanese Wikipedia)
2018-12-12,853.0,Back to the Future (Japanese Wikipedia)
2018-12-13,625.0,Back to the Future (Japanese Wikipedia)
2018-12-14,658.0,Back to the Future (Japanese Wikipedia)
2018-12-15,502.0,Back to the Future (Japanese Wikipedia)
2018-12-16,487.0,Back to the Future (Japanese Wikipedia)
2018-12-17,1507.0,Back to the Future (Japanese Wikipedia)
2018-12-18,1072.0,Back to the Future (Japanese Wikipedia)
2018-12-19,640.0,Back to the Future (Japanese Wikipedia)
2018-12-20,550.0,Back to the Future (Japanese Wikipedia)
2018-12-21,468.0,Back to the Future (Japanese Wikipedia)
2018-12-22,503.0,Back to the Future (Japanese Wikipedia)
2018-12-23,463.0,Back to the Future (Japanese Wikipedia)
2018-12-24,1858.0,Back to the Future (Japanese Wikipedia)
2018-12-25,963.0,Back to the Future (Japanese Wikipedia)
